year,start_date,end_date,summary,is_sep,has_press
2021,2021-01-26,2021-01-27,FOMC Meeting,False,False
2021,2021-03-16,2021-03-17,FOMC Meeting *SEP,True,True
2021,2021-04-27,2021-04-28,FOMC Meeting,False,False
2021,2021-06-15,2021-06-16,FOMC Meeting *SEP,True,True
2021,2021-07-27,2021-07-28,FOMC Meeting,False,False
2021,2021-09-21,2021-09-22,FOMC Meeting *SEP,True,True
2021,2021-11-02,2021-11-03,FOMC Meeting,False,False
2021,2021-12-14,2021-12-15,FOMC Meeting *SEP,True,True
2022,2022-01-25,2022-01-26,FOMC Meeting,False,False
2022,2022-03-15,2022-03-16,FOMC Meeting *SEP,True,True
2022,2022-05-03,2022-05-04,FOMC Meeting,False,False
2022,2022-06-14,2022-06-15,FOMC Meeting *SEP,True,True
2022,2022-07-26,2022-07-27,FOMC Meeting,False,False
2022,2022-09-20,2022-09-21,FOMC Meeting *SEP,True,True
2022,2022-11-01,2022-11-02,FOMC Meeting,False,False
2022,2022-12-13,2022-12-14,FOMC Meeting *SEP,True,True
2023,2023-01-31,2023-02-01,FOMC Meeting,False,False
2023,2023-03-21,2023-03-22,FOMC Meeting *SEP,True,True
2023,2023-05-02,2023-05-03,FOMC Meeting,False,False
2023,2023-06-13,2023-06-14,FOMC Meeting *SEP,True,True
2023,2023-07-25,2023-07-26,FOMC Meeting,False,False
2023,2023-09-19,2023-09-20,FOMC Meeting *SEP,True,True
2023,2023-10-31,2023-11-01,FOMC Meeting,False,False
2023,2023-12-12,2023-12-13,FOMC Meeting *SEP,True,True
2024,2024-01-30,2024-01-31,FOMC Meeting,False,False
2024,2024-03-19,2024-03-20,FOMC Meeting *SEP,True,True
2024,2024-04-30,2024-05-01,FOMC Meeting,False,False
2024,2024-06-11,2024-06-12,FOMC Meeting *SEP,True,True
2024,2024-07-30,2024-07-31,FOMC Meeting,False,False
2024,2024-09-17,2024-09-18,FOMC Meeting *SEP,True,True
2024,2024-11-06,2024-11-07,FOMC Meeting,False,False
2024,2024-12-17,2024-12-18,FOMC Meeting *SEP,True,True
2025,2025-01-28,2025-01-29,FOMC Meeting,False,False
2025,2025-03-18,2025-03-19,FOMC Meeting *SEP,True,True
2025,2025-05-06,2025-05-07,FOMC Meeting,False,False
2025,2025-06-17,2025-06-18,FOMC Meeting *SEP,True,True
2025,2025-07-29,2025-07-30,FOMC Meeting,False,False
2025,2025-08-22,2025-08-22,FOMC Meeting,False,False
2025,2025-09-16,2025-09-17,FOMC Meeting *SEP,True,True
2025,2025-10-28,2025-10-29,FOMC Meeting,False,False
2025,2025-12-09,2025-12-10,FOMC Meeting *SEP,True,True
2026,2026-01-27,2026-01-28,FOMC Meeting,False,False
2026,2026-03-17,2026-03-18,FOMC Meeting *SEP,True,True
2026,2026-04-28,2026-04-29,FOMC Meeting,False,False
2026,2026-06-16,2026-06-17,FOMC Meeting *SEP,True,True
2026,2026-07-28,2026-07-29,FOMC Meeting,False,False
2026,2026-09-15,2026-09-16,FOMC Meeting *SEP,True,True
2026,2026-10-27,2026-10-28,FOMC Meeting,False,False
2026,2026-12-08,2026-12-09,FOMC Meeting *SEP,True,True
2027,2027-01-26,2027-01-27,FOMC Meeting,False,False
2027,2027-03-16,2027-03-17,FOMC Meeting *SEP,True,True
2027,2027-04-27,2027-04-28,FOMC Meeting,False,False
2027,2027-06-08,2027-06-09,FOMC Meeting *SEP,True,True
2027,2027-07-27,2027-07-28,FOMC Meeting,False,False
2027,2027-09-14,2027-09-15,FOMC Meeting *SEP,True,True
2027,2027-10-26,2027-10-27,FOMC Meeting,False,False
2027,2027-12-07,2027-12-08,FOMC Meeting *SEP,True,True
